date,open,high,low,close,volume
2017-01-04,77.76,77.76,77.76,77.76,88
2017-01-05,85.54,85.54,85.54,85.54,44
2017-01-06,94.09,94.09,94.09,94.09,40
2017-01-09,103.5,103.5,103.5,103.5,103
2017-01-10,113.85,113.85,113.85,113.85,166
2017-01-11,125.24,125.24,125.24,125.24,172
2017-01-12,137.76,137.76,137.76,137.76,152
2017-01-13,151.54,151.54,151.54,151.54,5242
2017-01-16,166.69,166.69,166.69,166.69,4693
2017-01-17,183.36,183.36,183.36,183.36,1551
2017-01-18,201.7,201.7,201.7,201.7,1010
2017-01-19,221.87,221.87,185.1,200.62,127654
2017-01-20,196.3,220.68,193.0,220.68,84297
2017-01-23,223.86,242.75,222.01,242.75,26501
2017-01-24,265.8,266.5,242.01,242.97,63388
2017-01-25,243.03,267.27,243.0,267.27,31255
2017-01-26,278.09,293.0,268.86,285.42,51424
2017-02-03,283.0,297.96,280.05,288.07,36810
2017-02-06,283.5,288.97,271.09,279.96,46815
2017-02-07,278.25,289.66,276.0,279.63,35912
2017-02-08,275.9,279.0,268.5,278.31,32802
2017-02-09,277.0,284.66,273.68,281.23,36180
2017-02-10,281.6,288.88,277.0,277.64,33231
2017-02-13,274.95,281.0,267.5,274.51,29683
2017-02-14,275.1,282.8,271.7,280.4,32182
2017-02-15,280.0,281.49,252.36,253.49,57804
2017-02-16,250.0,253.4,240.02,245.53,39000
2017-02-17,243.54,249.76,238.94,245.92,27948
2017-02-20,245.0,248.0,235.22,241.81,22391
2017-02-21,241.0,262.26,240.21,255.64,31170
2017-02-22,254.04,261.48,250.02,256.66,26614
2017-02-23,254.55,266.58,253.8,259.89,25930
2017-02-24,259.13,276.0,259.13,272.0,31808
2017-02-27,269.5,273.88,266.0,269.21,20931
2017-02-28,268.88,296.13,268.88,296.13,36555
2017-03-01,302.5,312.0,300.1,301.17,39903
2017-03-02,297.0,327.77,296.27,313.83,39384
2017-03-03,311.77,318.33,303.15,317.62,32598
2017-03-06,317.7,332.78,313.51,324.94,25870
2017-03-07,325.02,327.56,315.03,315.85,23216
2017-03-08,315.01,325.2,311.0,312.75,24602
2017-03-09,311.16,329.87,306.12,329.12,33819
2017-03-10,327.74,336.3,325.19,325.94,25648
2017-03-13,327.21,358.53,323.5,358.53,27993
