,603444.SH
amount,0.0
askPrice,"[0.0, 0.0, 0.0, 0.0, 0.0]"
askVol,"[0, 0, 0, 0, 0]"
bidPrice,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bidVol,"[0, 0, 0, 0, 0]"
high,182.20000000000002
lastClose,182.2
lastPrice,182.20000000000002
lastSettlementPrice,0.0
low,182.20000000000002
open,182.20000000000002
openInt,0
pvolume,0
settlementPrice,0.0
stockStatus,0
timetag,20240202 00:00:00
volume,0
,603444.SH
amount,0.0
askPrice,"[0.0, 0.0, 0.0, 0.0, 0.0]"
askVol,"[0, 0, 0, 0, 0]"
bidPrice,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bidVol,"[0, 0, 0, 0, 0]"
high,182.20000000000002
lastClose,182.2
lastPrice,182.20000000000002
lastSettlementPrice,0.0
low,182.20000000000002
open,182.20000000000002
openInt,0
pvolume,0
settlementPrice,0.0
stockStatus,0
timetag,20240202 00:00:00
volume,0
,603444.SH
amount,621100.0
askPrice,"[182.69, 184.0, 184.68, 0.0, 0.0]"
askVol,"[7, 7, 1, 0, 0]"
bidPrice,"[182.68, 182.67000000000002, 182.66, 0.0, 0.0]"
bidVol,"[2, 6, 1, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,3400
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:25:03
volume,34
,603444.SH
amount,621100.0
askPrice,"[182.69, 184.0, 184.68, 0.0, 0.0]"
askVol,"[7, 7, 1, 0, 0]"
bidPrice,"[182.68, 182.67000000000002, 182.66, 0.0, 0.0]"
bidVol,"[2, 6, 1, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,3400
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:25:03
volume,34
,603444.SH
amount,621100.0
askPrice,"[182.69, 184.0, 184.68, 0.0, 0.0]"
askVol,"[7, 7, 1, 0, 0]"
bidPrice,"[182.68, 182.67000000000002, 182.66, 0.0, 0.0]"
bidVol,"[2, 6, 1, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,3400
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:25:03
volume,34
,603444.SH
amount,621100.0
askPrice,"[182.69, 184.0, 184.68, 0.0, 0.0]"
askVol,"[7, 7, 1, 0, 0]"
bidPrice,"[182.68, 182.67000000000002, 182.66, 0.0, 0.0]"
bidVol,"[2, 6, 1, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,3400
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:25:03
volume,34
,603444.SH
amount,754900.0
askPrice,"[184.0, 184.68, 184.8, 0.0, 0.0]"
askVol,"[7, 1, 2, 0, 0]"
bidPrice,"[182.69, 182.68, 182.67000000000002, 0.0, 0.0]"
bidVol,"[3, 2, 6, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,4132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:00
volume,41
,603444.SH
amount,754900.0
askPrice,"[184.0, 184.68, 184.8, 0.0, 0.0]"
askVol,"[7, 1, 2, 0, 0]"
bidPrice,"[182.69, 182.68, 182.67000000000002, 0.0, 0.0]"
bidVol,"[3, 2, 6, 0, 0]"
high,182.69
lastClose,182.2
lastPrice,182.69
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,4132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:00
volume,41
,603444.SH
amount,882800.0
askPrice,"[183.99, 184.0, 184.5, 0.0, 0.0]"
askVol,"[5, 9, 1, 0, 0]"
bidPrice,"[183.0, 182.8, 182.75, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,182.88
lastClose,182.2
lastPrice,182.8
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,4832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:03
volume,48
,603444.SH
amount,882800.0
askPrice,"[183.99, 184.0, 184.5, 0.0, 0.0]"
askVol,"[5, 9, 1, 0, 0]"
bidPrice,"[183.0, 182.8, 182.75, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,182.88
lastClose,182.2
lastPrice,182.8
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,4832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:03
volume,48
,603444.SH
amount,992600.0
askPrice,"[183.99, 184.0, 184.5, 0.0, 0.0]"
askVol,"[5, 11, 1, 0, 0]"
