date,open,high,low,close,volume
1999-01-19,10.9,11.23,10.0,10.17,288727
1999-01-20,10.04,10.48,10.0,10.24,69178
1999-01-21,10.23,10.3,10.03,10.27,27599
1999-01-22,10.3,10.59,10.26,10.35,29476
1999-01-25,10.38,10.65,10.37,10.45,24005
1999-01-26,10.44,10.51,10.1,10.22,18572
1999-01-27,10.18,10.28,10.07,10.23,19120
1999-01-28,10.2,10.2,10.03,10.06,16712
1999-01-29,10.02,10.15,9.59,9.66,28424
1999-02-01,9.6,9.9,9.32,9.65,14905
1999-02-02,9.6,9.77,9.45,9.74,9889
1999-02-03,9.79,9.8,9.4,9.4,10465
1999-02-04,9.3,9.34,8.95,9.0,16500
1999-02-05,8.9,9.3,8.82,9.18,14992
1999-02-08,9.16,9.3,9.01,9.08,8971
1999-02-09,9.08,9.29,9.08,9.26,8188
1999-03-01,9.26,9.3,9.05,9.12,4417
1999-03-02,9.1,9.39,8.95,9.31,7869
1999-03-03,9.3,9.55,9.2,9.5,8754
1999-03-04,9.5,9.58,9.39,9.55,9316
1999-03-05,9.58,9.78,9.47,9.64,12955
1999-03-08,9.64,9.73,9.5,9.7,9215
1999-03-09,9.7,9.75,9.45,9.46,9359
1999-03-10,9.41,9.6,9.38,9.4,7314
1999-03-11,9.39,9.86,8.82,9.82,17758
1999-03-12,9.86,9.95,9.6,9.66,10105
1999-03-15,9.71,9.84,9.56,9.61,13865
1999-03-16,9.61,9.88,9.6,9.8,12745
1999-03-17,9.8,9.88,9.61,9.61,7595
1999-03-18,9.59,9.59,9.38,9.43,9416
1999-03-19,9.43,9.75,9.38,9.67,8108
1999-03-22,9.67,10.12,9.62,10.05,23276
1999-03-23,10.05,10.27,9.91,9.92,22872
1999-03-24,9.92,10.1,9.76,9.82,8056
1999-03-25,9.81,9.85,9.62,9.63,6420
1999-03-26,9.62,9.8,9.6,9.67,5207
1999-03-29,9.65,9.89,9.55,9.81,5239
1999-03-30,9.81,9.83,9.65,9.71,6341
1999-03-31,9.7,9.8,9.59,9.71,8577
1999-04-01,9.71,9.72,9.52,9.59,7702
1999-04-02,9.6,10.01,9.52,10.0,15092
1999-04-05,10.02,10.09,9.9,10.06,13303
1999-04-06,10.07,10.1,9.86,9.95,7338
1999-04-07,9.9,9.94,9.7,9.75,8873
1999-04-08,9.72,9.89,9.58,9.69,8571
1999-04-09,9.69,9.7,9.57,9.59,9420
1999-04-12,9.6,9.84,9.26,9.48,23523
1999-04-13,9.4,9.51,9.27,9.34,6547
1999-04-14,9.3,9.44,9.28,9.4,6508
1999-04-15,9.35,9.35,9.14,9.14,6822
1999-04-16,9.14,9.25,9.1,9.15,5040
1999-04-19,9.14,9.28,9.1,9.19,3635
1999-04-20,9.12,9.41,9.12,9.19,4342
1999-04-21,9.25,9.33,9.03,9.08,5074
1999-04-22,9.01,9.03,8.72,8.9,8614
1999-04-23,8.9,9.1,8.9,9.06,4391
1999-04-26,9.2,9.2,8.81,8.82,4915
1999-04-27,8.79,8.85,8.58,8.58,5581
1999-04-28,8.65,8.88,8.58,8.6,4377
1999-04-29,8.62,8.86,8.51,8.85,3299
1999-04-30,8.85,9.13,8.75,9.02,5754
1999-05-04,9.04,9.04,8.82,8.85,2173
1999-05-05,8.76,8.88,8.75,8.85,2047
1999-05-06,8.88,9.03,8.81,8.95,2457
1999-05-07,8.93,8.94,8.78,8.8,2851
1999-05-10,8.69,8.7,8.36,8.38,6743
1999-05-11,8.38,8.58,8.32,8.49,2673
1999-05-12,8.5,8.54,8.38,8.5,3557
1999-05-13,8.54,9.02,8.54,8.69,8282
1999-05-14,8.55,8.63,8.46,8.47,3863
1999-05-17,8.46,8.62,8.33,8.4,3876
1999-05-19,8.63,8.9,8.5,8.86,5528
1999-05-20,8.9,9.09,8.8,9.06,12348
1999-05-21,9.1,9.15,8.83,9.01,10549
1999-05-24,9.0,9.46,8.81,9.39,22131
1999-05-25,9.41,9.76,9.2,9.42,27549
1999-05-26,9.37,10.35,9.3,10.35,81852
1999-05-27,10.5,11.06,10.38,11.06,90496
