date,open,high,low,close,volume
2022-03-01,48.8,49.14,46.88,47.34,18893
2022-03-02,47.65,47.66,45.9,46.98,16829
2022-03-03,47.0,48.51,46.5,47.93,20815
2022-03-04,48.58,49.36,47.8,48.9,15082
2022-03-07,48.88,48.89,46.25,46.79,20336
2022-03-08,46.79,47.9,45.83,46.45,18635
2022-03-09,46.7,46.77,43.66,45.76,19422
2022-03-10,47.7,47.7,44.7,44.77,17069
2022-03-11,44.3,45.0,42.92,44.52,24902
2022-03-14,43.8,43.97,42.73,42.87,13828
2022-03-15,42.71,43.11,40.88,40.96,11902
2022-03-16,42.0,42.8,39.48,41.89,22558
2022-03-17,42.35,44.06,41.9,42.29,16815
2022-03-18,42.26,42.26,40.0,40.8,23283
2022-03-21,40.78,41.28,40.13,40.36,11957
2022-03-22,40.64,40.64,39.29,39.4,15375
2022-03-23,39.4,39.7,38.68,39.17,21298
2022-03-24,39.16,39.16,38.03,38.56,18903
2022-03-25,38.52,40.0,38.5,38.8,18249
2022-03-28,38.49,38.8,37.73,38.49,8026
2022-03-29,38.5,39.17,37.18,38.47,16341
2022-03-30,38.8,40.67,38.29,40.17,20341
2022-03-31,39.88,40.28,39.6,40.19,9143
2022-04-01,40.0,40.0,38.7,38.76,11049
2022-04-06,38.7,39.06,37.72,37.95,10560
2022-04-07,37.95,38.44,37.26,37.26,7462
2022-04-08,37.21,37.27,35.53,35.87,17016
2022-04-11,35.87,36.19,35.0,35.21,10026
2022-04-12,35.23,36.14,34.84,35.76,8500
2022-04-13,36.2,37.4,35.77,36.62,18692
2022-04-14,36.62,36.97,35.6,36.13,14486
2022-04-15,36.2,37.23,35.14,36.01,21630
2022-04-18,35.9,37.5,35.2,37.2,18061
2022-04-19,37.2,37.78,36.4,36.8,12328
2022-04-20,37.97,38.88,37.35,37.93,28758
2022-04-21,36.47,37.99,36.21,36.83,18403
2022-04-22,36.69,36.69,34.42,34.94,18130
2022-04-25,34.84,34.84,32.78,33.57,14575
2022-04-26,33.61,35.49,32.67,33.96,27488
2022-04-27,33.92,35.3,32.55,35.1,14269
2022-04-28,34.56,35.56,33.33,35.37,17046
2022-04-29,33.38,38.26,33.3,36.81,30731
2022-05-05,36.99,37.79,36.0,36.74,14679
2022-05-06,35.81,38.98,35.65,35.75,17605
2022-05-09,35.91,36.73,35.15,36.7,18257
2022-05-10,36.27,38.43,35.94,38.12,18313
2022-05-11,38.63,39.94,37.82,38.21,15831
2022-05-12,37.98,38.69,37.73,38.13,6832
2022-05-13,38.13,38.3,36.4,36.92,13981
2022-05-16,37.36,37.4,36.22,36.4,6612
2022-05-17,36.0,36.88,34.61,34.99,23864
2022-05-18,35.34,37.09,35.1,35.37,33237
2022-05-19,34.97,35.0,33.68,34.29,15669
2022-05-20,34.36,35.05,34.21,34.93,11980
2022-05-23,34.93,34.94,34.24,34.51,11326
2022-05-24,34.51,34.61,32.8,32.81,14095
2022-05-25,32.96,33.37,32.73,33.24,5561
2022-05-26,33.0,33.28,32.6,32.99,7127
2022-05-27,33.1,34.97,32.7,34.79,25556
2022-05-30,35.4,36.62,34.45,36.2,25423
2022-05-31,35.5,37.86,35.4,37.4,21310
2022-06-01,38.1,42.98,37.5,41.6,49463
2022-06-02,40.0,42.96,40.0,42.62,28678
2022-06-06,42.62,43.94,41.7,42.15,27538
2022-06-07,41.38,42.57,40.72,41.24,23124
2022-06-08,41.8,42.0,38.8,39.67,30280
2022-06-09,39.7,40.15,37.57,38.0,20278
2022-06-10,38.35,39.7,37.66,39.5,19860
2022-06-13,39.41,39.74,38.71,39.09,14828
2022-06-14,39.0,39.0,37.63,38.52,8280
2022-06-15,39.42,40.15,38.65,38.8,16431
2022-06-16,38.8,39.49,38.6,39.1,8890
2022-06-17,38.95,40.14,38.44,39.26,10910
2022-06-20,39.65,39.8,38.0,38.27,22557
2022-06-21,38.09,38.75,37.41,37.79,14942
2022-06-22,37.79,38.21,36.78,36.85,18755
2022-06-23,37.04,37.21,36.02,36.54,24225
2022-06-24,37.44,38.41,36.7,36.92,25989
2022-06-27,36.91,37.55,36.61,36.97,12457
2022-06-28,36.97,37.76,36.0,37.73,14975
2022-06-29,37.5,39.21,36.78,38.45,33176
2022-06-30,38.19,38.64,36.88,37.62,25766
2022-07-01,37.6,37.74,36.63,36.8,10296
2022-07-04,36.99,36.99,36.06,36.5,13936
2022-07-05,36.5,36.54,35.23,35.6,11732
